h,latitude_deg,T,P,rho,a
0,15,299.65,101325.0,1.177987,347.01816095126776
1000,15,293.665,90328.68999999999,1.071548,343.5351320360117
2000,15,287.682,80338.49,0.9728581,340.0176077858322
3000,15,283.656,71320.20999999999,0.8759075,337.6300165494768
4000,15,276.979,63163.009999999995,0.7944263,333.63260338552044
5000,15,270.304,55775.44,0.718833,329.58793023531666
6000,15,263.632,49100.97,0.6488298,325.49485263887044
7000,15,256.961,43085.99,0.5841269,321.35027043119163
8000,15,250.292,37679.74,0.5244434,317.152797979775
9000,15,243.626,32834.18,0.469506,312.9009489426326
10000,15,236.961,28503.980000000003,0.4190503,308.5911734094156
12000,15,223.639,21221.04,0.3305654,299.7911676714309
14000,15,210.325,15518.27,0.2570343,290.7304440800791
16000,15,197.019,11120.46,0.1966313,281.3838179600952
18000,15,198.779,7864.157,0.1378225,282.637845310567
20000,15,206.713,5629.715,0.09487626,288.22321472185405
22000,15,214.641,4082.017,0.06625209,293.69828082949346
24000,15,218.858,2987.766,0.04755795,296.569357256612
26000,15,222.817,2199.5699999999997,0.03438964,299.2397092990835
28000,15,226.774,1628.37,0.02501488,301.8851103164911
30000,15,230.728,1212.014,0.01829974,304.5055507172242
32000,15,236.092,907.5227,0.01339103,308.0248100825646
34000,15,241.621,684.2101,0.009864886,311.6107284388649
36000,15,247.147,519.244,0.007319035,315.15393525609034
38000,15,252.67,396.5297,0.00546715,318.65585529533263
40000,15,258.188,304.63710000000003,0.004110401,322.1165875107955
42000,15,262.728,235.29309999999998,0.003119903,324.936308863137
44000,15,267.059,182.5355,0.002381105,327.60360495238757
46000,15,271.387,142.2088,0.001825475,330.2475337007076
48000,15,272.35,111.1163,0.001421309,330.83294631883325
50000,15,272.35,86.84371,0.001110834,330.83294631883325
52000,15,271.254,67.87593,0.0008717218,330.16660074392746
54000,15,266.544,52.89756,0.0006913604,327.2875750235563
56000,15,261.009,41.03663,0.000547714,323.87155334761957
58000,15,255.129,31.65824,0.0004322791,320.20269013829346
60000,15,249.253,24.27992,0.0003393472,316.49383875930346
62000,15,242.753,18.50269,0.0002655271,312.3398272276528
64000,15,235.906,13.9943,0.0002066572,307.9034508172976
66000,15,229.063,10.49963,0.0001596823,303.40486132328203
68000,15,222.786,7.812449000000001,0.0001221626,299.21889231998705
70000,15,216.928,5.767793999999999,9.262593e-05,295.2588126671243
72000,15,211.074,4.223868,6.971309e-05,291.247652163584
74000,15,205.223,3.066854,5.206007e-05,287.1825707570012
76000,15,203.225,2.213526,3.794413e-05,285.78118254181817
78000,15,201.278,1.592946,2.757042e-05,284.4089225527216
80000,15,199.331,1.142926,1.997473e-05,283.0300092926543
0,30,290.15,101725.0,1.2221644999999999,341.472984480471
1000,30,287.1545,90381.33,1.0968965000000002,339.70573289819527
2000,30,284.15999999999997,80208.455,0.9834973499999999,337.9298339478182
3000,30,277.98400000000004,71045.485,0.8904982,334.2373372512413
4000,30,271.79949999999997,62760.16,0.80454745,330.49842151347707
5000,30,265.61699999999996,55285.31999999999,0.72521795,326.71795080986897
6000,30,259.43600000000004,48557.54,0.65213395,322.8941544085306
7000,30,253.2575,42517.115000000005,0.584933,319.0261042712649
8000,30,247.07999999999998,37107.84,0.52326615,315.11121423395895
9000,30,240.4175,32272.58,0.4676589,310.83370228869967
10000,30,233.747,27958.865,0.41668154999999996,306.4912537535125
12000,30,220.4115,20722.735,0.3274818,297.6200517997737
14000,30,211.3745,15125.75,0.24932225000000002,291.45489889157807
16000,30,207.462,10923.740000000002,0.18345175,288.74491386066006
18000,30,208.102,7873.2785,0.1317877,289.18994582868885
20000,30,212.59300000000002,5703.040999999999,0.093439,292.29375942807945
22000,30,217.156,4160.3060000000005,0.06672663000000001,295.41393632528576
24000,30,220.6845,3053.3975,0.04819027,297.80430972351627
26000,30,223.9665,2251.995,0.035021805,300.01059650335685
28000,30,227.23399999999998,1745.879,0.02557633,302.19113481834637
30000,30,230.8675,1241.953,0.018737025,304.5975900569471
32000,30,235.0215,929.29165,0.01377113,307.3256860324239
34000,30,239.1725,699.0242499999999,0.010178211999999999,310.02783278199394
36000,30,243.9325,528.6613500000001,0.007547249000000001,313.0977136478323
38000,30,248.7695,402.08630000000005,0.0056285915,316.1867229927594
40000,30,253.603,307.4842,0.0042222514999999995,319.243641663542
42000,30,258.4335,236.37245,0.003185106,322.26969461260234
44000,30,263.26099999999997,182.62315,0.0024157205,325.26574330261093
46000,30,268.086,141.7811,0.0018417275,328.23291544450564
48000,30,271.5,110.58515,0.0014184365,330.3162807068401
50000,30,271.5,86.361345,0.001107715,330.3162807068401
52000,30,268.857,67.47667000000001,0.0008738112,328.7045661219205
54000,30,263.6515,52.40352,0.0006919877,325.50689031309304
56000,30,258.4495,40.54499,0.0005461583,322.2796705547838
58000,30,253.2505,31.21043,0.0004290279,319.0216953235312
60000,30,248.055,23.899545,0.000335413,315.7323307502733
62000,30,242.00650000000002,18.195435,0.0002617899,311.85921275841764
64000,30,235.54500000000002,13.753385,0.00020338385,307.6677728313448
66000,30,229.087,10.315159999999999,0.00015691400000000002,303.42075547892233
68000,30,222.63299999999998,7.673517499999999,0.00012017924999999999,299.1161292351183
70000,30,216.183,5.658817,9.132542499999999e-05,294.75137010470365
72000,30,211.16000000000003,4.137646,6.837198e-05,291.3069790993687
74000,30,207.256,3.0074615,5.0619185000000004e-05,288.6015232031875
76000,30,203.3545,2.173257,3.7271605e-05,285.8722214624919
78000,30,199.4545,1.56105,2.728982e-05,283.11767451697534
80000,30,195.558,1.11441,1.9866165e-05,280.33857173710504
0,45,281.9,101575.0,1.2566935,336.5833284344309
1000,45,277.651,89888.85,1.128955,334.0370840254118
2000,45,273.403,79402.03,1.0125856500000001,331.47188704715217
3000,45,268.40700000000004,69995.035,0.90897755,328.42936592119776
4000,45,262.415,61545.46000000001,0.81743425,324.7426953651152
5000,45,256.424,53958.115,0.7333422,321.01431410577317
6000,45,250.43400000000003,47161.815,0.6562414000000001,317.24275153705247
7000,45,244.446,41089.785,0.58569425,313.4270899159803
8000,45,238.46,35679.524999999994,0.5212819,309.5656985714018
9000,45,232.476,30872.595,0.46260345,305.6568443846792
10000,45,226.494,26614.455,0.40927185,301.69868255396807
12000,45,220.0725,19620.625,0.31047365,297.39108910574305
14000,45,216.606,14351.380000000001,0.23083725,295.0395955887955
16000,45,216.208,10481.184,0.16888150000000002,294.7684125438138
18000,45,216.3795,7653.549500000001,0.12319875,294.88529712228785
20000,45,217.5625,5596.909,0.08958513000000001,295.690303590598
22000,45,218.7545,4100.9765,0.065270855,296.4992237492368
24000,45,219.946,3010.7225,0.04764907,297.30560504840804
26000,45,221.494,2214.8365000000003,0.034798575,298.3500026056645
28000,45,223.47699999999998,1634.01,0.0279357,299.6825663821637
30000,45,227.59699999999998,1210.7220000000002,0.018498785,302.4324094692895
32000,45,232.223,902.53605,0.01351068,305.49047832395695
34000,45,236.875,676.9160999999999,0.00993101,308.53516999687406
36000,45,241.643,510.69425,0.0073424425,311.6249144574291
38000,45,246.5855,387.5634,0.0054593260000000005,314.7957282812141
40000,45,251.52499999999998,295.79904999999997,0.004084217,317.93302463726536
42000,45,256.46049999999997,226.99740000000003,0.0030735335,321.037160262017
44000,45,261.394,175.11315,0.002326065,324.1103278743212
46000,45,266.324,135.7691,0.001769956,327.15247888530513
48000,45,269.65,105.749765,0.001361496,329.18897009164806
50000,45,269.65,82.469495,0.0010616002,329.18897009164806
52000,45,268.43600000000004,64.31592,0.0008316263999999999,328.44710799640177
54000,45,264.3055,50.01893,0.0006570702999999999,325.910357871762
56000,45,260.17650000000003,38.749075000000005,0.00051730505,323.35463936102724
58000,45,256.05100000000004,29.89761,0.00040576269999999996,320.78075189169317
60000,45,251.92849999999999,22.971764999999998,0.0003170475,318.1879387951404
62000,45,246.19650000000001,17.561765,0.00024834849999999997,314.54732788612273
64000,45,239.8235,13.329155,0.0001938541,310.4494760886222
66000,45,233.454,10.0380775,0.00015028055,306.2991013483389
68000,45,227.089,7.4972095,0.00011564512,302.0947040313683
70000,45,220.728,5.5504425,8.8290675e-05,297.8336589735955
72000,45,215.206,4.0729109999999995,6.654054000000001e-05,294.0845781152082
74000,45,210.2215,2.9664855,4.9644245e-05,290.65890169630103
76000,45,205.24,2.144311,3.677322e-05,287.19446514165276
78000,45,200.261,1.537827,2.7035305e-05,283.6894942823932
80000,45,195.2855,1.09386625,1.972053e-05,280.1431849681516
0,60,269.15,101160.0,1.3124894999999999,328.8836282486557
1000,60,268.0455,89045.33,1.158693,328.20812128297496
2000,60,263.942,78293.02,1.0344495,325.6861681072747
3000,60,259.8385,68704.70999999999,0.9219454499999999,323.1445331685189
4000,60,254.9875,60156.905,0.8225992,320.1138821927284
5000,60,250.135,52540.634999999995,0.7323688500000001,317.0533125784999
