h,latitude_deg,season,T,P,rho,a
0,15,annual,299.65,101325.0,1.177987,347.01816095126776
1000,15,annual,293.665,90328.68999999999,1.071548,343.5351320360117
2000,15,annual,287.682,80338.49,0.9728581,340.0176077858322
3000,15,annual,283.656,71320.20999999999,0.8759075,337.6300165494768
4000,15,annual,276.979,63163.009999999995,0.7944263,333.63260338552044
5000,15,annual,270.304,55775.44,0.718833,329.58793023531666
6000,15,annual,263.632,49100.97,0.6488298,325.49485263887044
7000,15,annual,256.961,43085.99,0.5841269,321.35027043119163
8000,15,annual,250.292,37679.74,0.5244434,317.152797979775
9000,15,annual,243.626,32834.18,0.469506,312.9009489426326
10000,15,annual,236.961,28503.980000000003,0.4190503,308.5911734094156
12000,15,annual,223.639,21221.04,0.3305654,299.7911676714309
14000,15,annual,210.325,15518.27,0.2570343,290.7304440800791
16000,15,annual,197.019,11120.46,0.1966313,281.3838179600952
18000,15,annual,198.779,7864.157,0.1378225,282.637845310567
20000,15,annual,206.713,5629.715,0.09487626,288.22321472185405
22000,15,annual,214.641,4082.017,0.06625209,293.69828082949346
24000,15,annual,218.858,2987.766,0.04755795,296.569357256612
26000,15,annual,222.817,2199.5699999999997,0.03438964,299.2397092990835
28000,15,annual,226.774,1628.37,0.02501488,301.8851103164911
30000,15,annual,230.728,1212.014,0.01829974,304.5055507172242
32000,15,annual,236.092,907.5227,0.01339103,308.0248100825646
34000,15,annual,241.621,684.2101,0.009864886,311.6107284388649
36000,15,annual,247.147,519.244,0.007319035,315.15393525609034
38000,15,annual,252.67,396.5297,0.00546715,318.65585529533263
40000,15,annual,258.188,304.63710000000003,0.004110401,322.1165875107955
42000,15,annual,262.728,235.29309999999998,0.003119903,324.936308863137
44000,15,annual,267.059,182.5355,0.002381105,327.60360495238757
46000,15,annual,271.387,142.2088,0.001825475,330.2475337007076
48000,15,annual,272.35,111.1163,0.001421309,330.83294631883325
50000,15,annual,272.35,86.84371,0.001110834,330.83294631883325
52000,15,annual,271.254,67.87593,0.0008717218,330.16660074392746
54000,15,annual,266.544,52.89756,0.0006913604,327.2875750235563
56000,15,annual,261.009,41.03663,0.000547714,323.87155334761957
58000,15,annual,255.129,31.65824,0.0004322791,320.20269013829346
60000,15,annual,249.253,24.27992,0.0003393472,316.49383875930346
62000,15,annual,242.753,18.50269,0.0002655271,312.3398272276528
64000,15,annual,235.906,13.9943,0.0002066572,307.9034508172976
66000,15,annual,229.063,10.49963,0.0001596823,303.40486132328203
68000,15,annual,222.786,7.812449000000001,0.0001221626,299.21889231998705
70000,15,annual,216.928,5.767793999999999,9.262593e-05,295.2588126671243
72000,15,annual,211.074,4.223868,6.971309e-05,291.247652163584
74000,15,annual,205.223,3.066854,5.206007e-05,287.1825707570012
76000,15,annual,203.225,2.213526,3.794413e-05,285.78118254181817
78000,15,annual,201.278,1.592946,2.757042e-05,284.4089225527216
80000,15,annual,199.331,1.142926,1.997473e-05,283.0300092926543
0,30,winter,283.15,102050.0,1.255552,337.3287413340286
1000,30,winter,281.652,90438.77,1.118611,336.43524217655914
2000,30,winter,280.155,80100.13,0.996031,335.5399625990919
3000,30,winter,273.785,70823.81,0.901171,331.70337328251577
4000,30,winter,267.401,62442.600000000006,0.8134969,327.8133050292498
5000,30,winter,261.019,54888.189999999995,0.732563,323.87775751014453
6000,30,winter,254.639,48095.95,0.6579944,319.89505218711963
7000,30,winter,248.261,42005.020000000004,0.5894291,315.86340523428794
8000,30,winter,241.884,36557.99,0.5265173,311.7802735786855
9000,30,winter,235.51,31700.920000000002,0.4689215,307.64491356432336
10000,30,winter,229.138,27383.11,0.4163165,303.45452779551664
12000,30,winter,216.4,20178.29,0.3248372,294.8992656484583
14000,30,winter,212.25,14693.59,0.2411675,292.05786918006504
16000,30,winter,208.274,10637.83,0.1779327,289.30943145842997
18000,30,winter,207.15,7667.843999999999,0.1289515,288.52771189263603
20000,30,winter,210.97,5542.683,0.0915246,291.17589181455253
22000,30,winter,214.938,4031.617,0.06534376,293.90140659683817
24000,30,winter,218.904,2950.204,0.04695014,296.60052238119874
26000,30,winter,222.495,2170.892,0.03399035,299.02341067046905
28000,30,winter,226.06,1760.155,0.02474229,301.4094916421844
30000,30,winter,229.622,1193.281,0.01810366,303.77484680664395
32000,30,winter,233.183,891.0929,0.01331266,306.1212693992366
34000,30,winter,236.741,668.5021,0.009837124,308.44788860065165
36000,30,winter,241.52,504.0774,0.007270803,311.5455934273505
38000,30,winter,246.456,382.3344,0.005404346,314.7130563468888
40000,30,winter,251.388,291.6373,0.004041448,317.84642736642485
42000,30,winter,256.317,223.66559999999998,0.003039905,320.9473310706914
44000,30,winter,261.243,172.4332,0.002299398,324.01669961685616
46000,30,winter,266.166,133.6047,0.001748667,327.0554208650271
48000,30,winter,269.65,104.0365,0.001344075,329.18897009164806
50000,30,winter,269.65,81.1155,0.001047952,329.18897009164806
52000,30,winter,265.732,63.31020000000001,0.0008299806,326.7886701132706
54000,30,winter,260.625,48.9651,0.0006544986,323.63322353398763
56000,30,winter,255.521,37.7746,0.0005150029,320.44858785490067
58000,30,winter,250.42,28.991,0.0004032813,317.23388400988944
60000,30,winter,245.323,22.1337,0.0003143082,313.9888284105025
62000,30,winter,240.228,16.80647,0.0002437199,310.7111766860021
64000,30,winter,235.137,12.68919,0.0001879963,307.40119350028556
66000,30,winter,230.049,9.522369999999999,0.0001441992,304.0571621189016
68000,30,winter,224.964,7.1018,0.0001099749,300.67794652884004
70000,30,winter,219.882,5.26176,8.336456e-05,297.26234683255797
72000,30,winter,215.241,3.8730800000000003,6.268586e-05,294.10849134664574
74000,30,winter,210.947,2.8336099999999997,4.679558e-05,291.1600193491545
76000,30,winter,206.655,2.05999,3.472637e-05,288.18277672511937
78000,30,winter,202.365,1.487932,2.561462e-05,285.1758623779369
80000,30,winter,198.079,1.067686,1.877773e-05,282.13975200563283
0,30,summer,297.15,101400.0,1.188777,345.567531070267
1000,30,summer,292.657,90323.89,1.075182,342.94503604717767
2000,30,summer,288.165,80316.78,0.9709637,340.3029221781676
3000,30,summer,282.183,71267.16,0.8798254,336.75223440773186
4000,30,summer,276.198,63077.72,0.795598,333.1618980189661
