h,latitude_deg,season,w,r_g_per_kg,T,P,rho,a
0,15,annual,0.0,0.0,299.65,101325.0,1.177986301898623,347.01816095126776
0,15,annual,0.25,0.0,299.65,101325.0,1.177986301898623,347.01816095126776
0,15,annual,0.5,0.0,299.65,101325.0,1.177986301898623,347.01816095126776
0,15,annual,0.75,0.0,299.65,101325.0,1.177986301898623,347.01816095126776
0,15,annual,1.0,0.0,299.65,101325.0,1.177986301898623,347.01816095126776
1000,15,annual,0.0,0.0,293.665,90328.68999999999,1.0715475136607782,343.5351320360117
1000,15,annual,0.25,0.0,293.665,90328.68999999999,1.0715475136607782,343.5351320360117
1000,15,annual,0.5,0.0,293.665,90328.68999999999,1.0715475136607782,343.5351320360117
1000,15,annual,0.75,0.0,293.665,90328.68999999999,1.0715475136607782,343.5351320360117
1000,15,annual,1.0,0.0,293.665,90328.68999999999,1.0715475136607782,343.5351320360117
2000,15,annual,0.0,0.0,287.682,80338.49,0.9728567248999842,340.0176077858322
2000,15,annual,0.25,0.0,287.682,80338.49,0.9728567248999842,340.0176077858322
2000,15,annual,0.5,0.0,287.682,80338.49,0.9728567248999842,340.0176077858322
2000,15,annual,0.75,0.0,287.682,80338.49,0.9728567248999842,340.0176077858322
2000,15,annual,1.0,0.0,287.682,80338.49,0.9728567248999842,340.0176077858322
3000,15,annual,0.0,0.0,283.656,71320.20999999999,0.8759081127840459,337.6300165494768
3000,15,annual,0.25,0.0,283.656,71320.20999999999,0.8759081127840459,337.6300165494768
3000,15,annual,0.5,0.0,283.656,71320.20999999999,0.8759081127840459,337.6300165494768
3000,15,annual,0.75,0.0,283.656,71320.20999999999,0.8759081127840459,337.6300165494768
3000,15,annual,1.0,0.0,283.656,71320.20999999999,0.8759081127840459,337.6300165494768
4000,15,annual,0.0,0.0,276.979,63163.009999999995,0.7944267967483613,333.63260338552044
4000,15,annual,0.25,0.0,276.979,63163.009999999995,0.7944267967483613,333.63260338552044
4000,15,annual,0.5,0.0,276.979,63163.009999999995,0.7944267967483613,333.63260338552044
4000,15,annual,0.75,0.0,276.979,63163.009999999995,0.7944267967483613,333.63260338552044
4000,15,annual,1.0,0.0,276.979,63163.009999999995,0.7944267967483613,333.63260338552044
5000,15,annual,0.0,0.0,270.304,55775.44,0.7188337218096728,329.58793023531666
5000,15,annual,0.25,0.0,270.304,55775.44,0.7188337218096728,329.58793023531666
5000,15,annual,0.5,0.0,270.304,55775.44,0.7188337218096728,329.58793023531666
5000,15,annual,0.75,0.0,270.304,55775.44,0.7188337218096728,329.58793023531666
5000,15,annual,1.0,0.0,270.304,55775.44,0.7188337218096728,329.58793023531666
6000,15,annual,0.0,0.0,263.632,49100.97,0.6488284092085658,325.49485263887044
6000,15,annual,0.25,0.0,263.632,49100.97,0.6488284092085658,325.49485263887044
6000,15,annual,0.5,0.0,263.632,49100.97,0.6488284092085658,325.49485263887044
6000,15,annual,0.75,0.0,263.632,49100.97,0.6488284092085658,325.49485263887044
6000,15,annual,1.0,0.0,263.632,49100.97,0.6488284092085658,325.49485263887044
7000,15,annual,0.0,0.0,256.961,43085.99,0.5841263160928648,321.35027043119163
7000,15,annual,0.25,0.0,256.961,43085.99,0.5841263160928648,321.35027043119163
7000,15,annual,0.5,0.0,256.961,43085.99,0.5841263160928648,321.35027043119163
7000,15,annual,0.75,0.0,256.961,43085.99,0.5841263160928648,321.35027043119163
7000,15,annual,1.0,0.0,256.961,43085.99,0.5841263160928648,321.35027043119163
8000,15,annual,0.0,0.0,250.292,37679.74,0.5244436589384713,317.152797979775
8000,15,annual,0.25,0.0,250.292,37679.74,0.5244436589384713,317.152797979775
8000,15,annual,0.5,0.0,250.292,37679.74,0.5244436589384713,317.152797979775
8000,15,annual,0.75,0.0,250.292,37679.74,0.5244436589384713,317.152797979775
8000,15,annual,1.0,0.0,250.292,37679.74,0.5244436589384713,317.152797979775
9000,15,annual,0.0,0.0,243.626,32834.18,0.4695052467421166,312.9009489426326
9000,15,annual,0.25,0.0,243.626,32834.18,0.4695052467421166,312.9009489426326
9000,15,annual,0.5,0.0,243.626,32834.18,0.4695052467421166,312.9009489426326
9000,15,annual,0.75,0.0,243.626,32834.18,0.4695052467421166,312.9009489426326
9000,15,annual,1.0,0.0,243.626,32834.18,0.4695052467421166,312.9009489426326
10000,15,annual,0.0,0.0,236.961,28503.980000000003,0.41905067120744977,308.5911734094156
10000,15,annual,0.25,0.0,236.961,28503.980000000003,0.41905067120744977,308.5911734094156
10000,15,annual,0.5,0.0,236.961,28503.980000000003,0.41905067120744977,308.5911734094156
10000,15,annual,0.75,0.0,236.961,28503.980000000003,0.41905067120744977,308.5911734094156
10000,15,annual,1.0,0.0,236.961,28503.980000000003,0.41905067120744977,308.5911734094156
0,30,winter,0.0,0.0,283.15,102050.0,1.2555509848345996,337.3287413340286
0,30,winter,0.25,1.5125,283.15,102050.0,1.254408088946214,337.3287413340286
0,30,winter,0.5,3.025,283.15,102050.0,1.2532651930578287,337.3287413340286
0,30,winter,0.75,4.5375,283.15,102050.0,1.2521222971694432,337.3287413340286
0,30,winter,1.0,6.05,283.15,102050.0,1.2509794012810578,337.3287413340286
1000,30,winter,0.0,0.0,281.652,90438.77,1.1186126275996906,336.43524217655914
1000,30,winter,0.25,0.99,281.652,90438.77,1.1179440483280765,336.43524217655914
1000,30,winter,0.5,1.98,281.652,90438.77,1.1172754690564624,336.43524217655914
1000,30,winter,0.75,2.9699999999999998,281.652,90438.77,1.1166068897848482,336.43524217655914
1000,30,winter,1.0,3.96,281.652,90438.77,1.115938310513234,336.43524217655914
2000,30,winter,0.0,0.0,280.155,80100.13,0.9960307652123078,335.5399625990919
2000,30,winter,0.25,0.6725,280.155,80100.13,0.9956253589661153,335.5399625990919
2000,30,winter,0.5,1.345,280.155,80100.13,0.9952199527199228,335.5399625990919
2000,30,winter,0.75,2.0175,280.155,80100.13,0.9948145464737302,335.5399625990919
2000,30,winter,1.0,2.69,280.155,80100.13,0.9944091402275377,335.5399625990919
3000,30,winter,0.0,0.0,273.785,70823.81,0.9011717013814926,331.70337328251577
3000,30,winter,0.25,0.4775,273.785,70823.81,0.9009107739124058,331.70337328251577
3000,30,winter,0.5,0.955,273.785,70823.81,0.9006498464433191,331.70337328251577
3000,30,winter,0.75,1.4324999999999999,273.785,70823.81,0.9003889189742323,331.70337328251577
3000,30,winter,1.0,1.91,273.785,70823.81,0.9001279915051457,331.70337328251577
4000,30,winter,0.0,0.0,267.401,62442.600000000006,0.8134968224616105,327.8133050292498
4000,30,winter,0.25,0.325,267.401,62442.600000000006,0.8133367745381745,327.8133050292498
4000,30,winter,0.5,0.65,267.401,62442.600000000006,0.8131767266147385,327.8133050292498
4000,30,winter,0.75,0.9750000000000001,267.401,62442.600000000006,0.8130166786913027,327.8133050292498
4000,30,winter,1.0,1.3,267.401,62442.600000000006,0.8128566307678667,327.8133050292498
5000,30,winter,0.0,0.0,261.019,54888.189999999995,0.7325625250170484,323.87775751014453
5000,30,winter,0.25,0.2075,261.019,54888.189999999995,0.7324704545264962,323.87775751014453
5000,30,winter,0.5,0.415,261.019,54888.189999999995,0.7323783840359438,323.87775751014453
5000,30,winter,0.75,0.6224999999999999,261.019,54888.189999999995,0.7322863135453914,323.87775751014453
5000,30,winter,1.0,0.83,261.019,54888.189999999995,0.732194243054839,323.87775751014453
6000,30,winter,0.0,0.0,254.639,48095.95,0.6579933391445894,319.89505218711963
6000,30,winter,0.25,0.125,254.639,48095.95,0.6579429183825206,319.89505218711963
6000,30,winter,0.5,0.25,254.639,48095.95,0.657892497620452,319.89505218711963
6000,30,winter,0.75,0.375,254.639,48095.95,0.6578420768583833,319.89505218711963
6000,30,winter,1.0,0.5,254.639,48095.95,0.6577916560963145,319.89505218711963
7000,30,winter,0.0,0.0,248.261,42005.020000000004,0.589427786619167,315.86340523428794
7000,30,winter,0.25,0.085,248.261,42005.020000000004,0.5893972873765951,315.86340523428794
7000,30,winter,0.5,0.17,248.261,42005.020000000004,0.5893667881340232,315.86340523428794
7000,30,winter,0.75,0.255,248.261,42005.020000000004,0.5893362888914514,315.86340523428794
7000,30,winter,1.0,0.34,248.261,42005.020000000004,0.5893057896488795,315.86340523428794
8000,30,winter,0.0,0.0,241.884,36557.99,0.5265178240391967,311.7802735786855
8000,30,winter,0.25,0.0575,241.884,36557.99,0.5264987698438975,311.7802735786855
8000,30,winter,0.5,0.115,241.884,36557.99,0.5264797156485984,311.7802735786855
8000,30,winter,0.75,0.17250000000000001,241.884,36557.99,0.5264606614532993,311.7802735786855
8000,30,winter,1.0,0.23,241.884,36557.99,0.5264416072580002,311.7802735786855
9000,30,winter,0.0,0.0,235.51,31700.920000000002,0.4689218002833973,307.64491356432336
9000,30,winter,0.25,0.0425,235.51,31700.920000000002,0.4689092196393295,307.64491356432336
9000,30,winter,0.5,0.085,235.51,31700.920000000002,0.4688966389952618,307.64491356432336
9000,30,winter,0.75,0.1275,235.51,31700.920000000002,0.468884058351194,307.64491356432336
9000,30,winter,1.0,0.17,235.51,31700.920000000002,0.4688714777071262,307.64491356432336
10000,30,winter,0.0,0.0,229.138,27383.11,0.41631644163264225,303.45452779551664
10000,30,winter,0.25,0.03,229.138,27383.11,0.41630782130345373,303.45452779551664
10000,30,winter,0.5,0.06,229.138,27383.11,0.4162992009742652,303.45452779551664
10000,30,winter,0.75,0.09,229.138,27383.11,0.4162905806450767,303.45452779551664
10000,30,winter,1.0,0.12,229.138,27383.11,0.4162819603158881,303.45452779551664
0,30,summer,0.0,0.0,297.15,101400.0,1.1887762784997398,345.567531070267
0,30,summer,0.25,3.7,297.15,101400.0,1.186166105637829,345.567531070267
0,30,summer,0.5,7.4,297.15,101400.0,1.1835559327759184,345.567531070267
