latitude_deg,season,H_geopotential_km,temperature_K,gradient_K_per_km
30,Dec-Jan,2.0,280.15,-1.5
30,Dec-Jan,12.0,216.15,-6.4
30,Dec-Jan,16.5,207.15,-2.0
30,Dec-Jan,18.0,207.15,3.0
30,Dec-Jan,24.0,219.15,2.0
30,Dec-Jan,34.0,237.15,1.8
30,Dec-Jan,47.0,269.55,2.5
30,Dec-Jan,50.0,269.55,0.0
30,Dec-Jan,70.0,217.65,-2.6
30,Dec-Jan,80.0,195.65,-2.2
30,Jun-Jul,2.0,288.15,-4.5
30,Jun-Jul,8.0,252.15,-6.0
30,Jun-Jul,14.5,206.65,-7.0
30,Jun-Jul,17.0,206.65,0.0
30,Jun-Jul,22.0,219.65,2.6
30,Jun-Jul,29.0,230.15,1.5
30,Jun-Jul,47.0,273.35,2.4
30,Jun-Jul,51.0,273.35,0.0
30,Jun-Jul,60.0,249.05,-2.7
30,Jun-Jul,70.0,209.05,-4.0
30,Jun-Jul,80.0,191.05,-1.8
