latitude_deg,season,altitude_km,r_g_per_kg,e_prime_hPa,t_d_C
10,January,0,12.63,20.1,17.6
10,January,1,8.82,12.6,10.4
10,January,2,5.85,7.48,2.8
10,January,3,3.95,4.5,-4.1
10,January,4,2.78,2.81,-10.3
10,January,5,1.99,1.78,-15.9
10,January,6,1.4,1.1,-21.5
10,January,7,0.97,0.67,-26.6
10,January,8,0.63,0.38,-33.0
10,January,9,0.4,0.21,-39.0
10,January,10,0.25,0.1,-45.4
10,July,0,16.96,26.89,2.22
10,July,1,12.11,17.24,15.1
10,July,2,8.73,11.12,8.5
10,July,3,6.26,7.11,2.1
10,July,4,4.23,4.26,-4.9
10,July,5,2.87,2.56,-11.4
10,July,6,1.94,1.53,-17.7
10,July,7,1.34,0.93,-23.5
10,July,8,0.84,0.53,-29.8
10,July,9,0.51,0.27,-35.8
10,July,10,0.31,0.14,-42.0
10,Annual,0,14.87,23.66,20.2
10,Annual,1,10.7,15.27,13.3
10,Annual,2,7.66,9.77,6.7
10,Annual,3,5.23,5.94,-0.5
10,Annual,4,3.51,3.55,-7.3
10,Annual,5,2.4,2.14,-13.6
10,Annual,6,1.71,1.35,-19.1
10,Annual,7,1.19,0.82,-24.8
10,Annual,8,0.76,0.48,-30.6
10,Annual,9,0.45,0.24,-37.0
10,Annual,10,0.27,0.12,-43.1
30,January,0,6.05,9.83,6.7
30,January,1,3.96,5.72,-0.9
30,January,2,2.69,3.45,-7.6
30,January,3,1.91,2.17,-13.4
30,January,4,1.3,1.3,-19.5
30,January,5,0.83,0.73,-26.1
30,January,6,0.5,0.39,-32.8
30,January,7,0.34,0.23,-38.1
30,January,8,0.23,0.14,-43.1
30,January,9,0.17,0.09,-48.0
30,January,10,0.12,0.06,-49.2
30,July,0,14.8,23.56,20.1
30,July,1,8.5,12.18,9.9
30,July,2,5.82,7.44,2.7
30,July,3,4.21,4.79,-3.3
30,July,4,3.07,3.1,-9.0
30,July,5,2.26,2.01,-14.4
30,July,6,1.65,1.3,-19.6
30,July,7,1.22,0.84,-24.6
30,July,8,0.84,0.53,-29.6
30,July,9,0.56,0.3,-35.5
30,July,10,0.37,0.16,-40.7
30,Annual,0,9.55,15.38,13.4
30,Annual,1,6.41,9.22,5.8
30,Annual,2,4.3,5.51,-1.4
30,Annual,3,2.99,3.4,-7.8
30,Annual,4,2.06,2.08,-14.0
30,Annual,5,1.39,1.24,-20.1
30,Annual,6,0.96,0.75,-25.8
30,Annual,7,0.66,0.45,-31.3
30,Annual,8,0.42,0.25,-37.3
30,Annual,9,0.24,0.14,-42.6
30,Annual,10,0.15,0.08,-48.0
50,January,0,1.97,3.22,-8.5
50,January,1,1.64,2.36,-12.4
50,January,2,1.23,1.56,-17.4
50,January,3,0.89,0.99,-22.7
50,January,4,0.59,0.3,-28.6
50,January,5,0.42,0.36,-33.6
50,January,6,0.29,0.22,-38.5
50,January,7,0.2,0.13,-43.5
50,January,8,0.16,0.09,-46.9
50,January,9,0.16,0.08,-47.8
50,January,10,0.23,0.1,-45.6
50,July,0,8.47,13.6,11.5
50,July,1,6.41,9.19,5.8
50,July,2,4.82,6.15,0.1
50,July,3,3.51,3.97,-5.8
50,July,4,2.47,2.46,-11.9
50,July,5,1.72,1.52,-17.7
50,July,6,1.3,1.01,-22.5
50,July,7,0.84,0.57,-28.8
50,July,8,0.52,0.31,-35.1
50,July,9,0.29,0.16,-41.6
50,July,10,0.16,0.08,-48.0
50,Annual,0,4.84,7.85,3.5
50,Annual,1,3.69,5.29,-2.0
50,Annual,2,2.67,3.39,-7.8
50,Annual,3,1.86,2.09,-13.9
50,Annual,4,1.25,1.24,-20.1
50,Annual,5,0.87,0.75,-25.8
50,Annual,6,0.58,0.44,-31.5
50,Annual,7,0.41,0.27,-36.5
50,Annual,8,0.27,0.15,-42.2
50,Annual,9,0.23,0.12,-44.7
50,Annual,10,0.2,0.09,-46.8
70,January,0,0.67,1.09,-21.6
70,January,1,0.8,1.14,-21.1
70,January,2,0.59,0.72,-27.2
70,January,3,0.41,0.44,-31.5
70,January,4,0.25,0.24,-37.7
70,January,5,0.12,0.1,-46.0
70,January,6,0.09,0.06,-50.5
70,January,7,0.11,0.07,-48.8
70,January,8,0.16,0.08,-47.6
70,January,9,0.21,0.09,-46.5
70,January,10,0.28,0.1,-45.6
70,July,0,5.24,8.45,4.6
70,July,1,4.72,6.73,1.3
70,July,2,3.51,4.42,-4.4
70,July,3,2.23,2.48,-11.8
70,July,4,1.54,1.5,-17.9
70,July,5,1.07,0.91,-23.7
70,July,6,0.71,0.53,-29.8
70,July,7,0.48,0.31,-35.1
70,July,8,0.34,0.19,-40.0
70,July,9,0.23,0.11,-45.4
70,July,10,0.16,0.07,-50.6
70,Annual,0,2.18,3.55,-7.2
70,Annual,1,1.97,2.81,-10.2
70,Annual,2,1.44,1.8,-15.7
70,Annual,3,0.93,1.02,-22.4
70,Annual,4,0.63,0.6,-28.2
70,Annual,5,0.44,0.37,-33.3
70,Annual,6,0.29,0.21,-39.0
70,Annual,7,0.18,0.11,-45.1
70,Annual,8,0.21,0.11,-42.7
70,Annual,9,0.22,0.1,-46.0
70,Annual,10,0.22,0.08,-48.1
