altitude_m,H_geopotential_m,temperature_K,temperature_C,pressure_hPa,density_kg_m3
0,0,299.650,26.50,1013.250,1.177987
1000,998,293.665,21.52,903.2869,1.071548
2000,1995,287.682,14.53,803.3849,0.9728581
3000,2992,283.656,10.50,713.2021,0.8759075
4000,3988,276.979,5.83,631.6301,0.7944263
5000,4984,270.304,-1.15,557.7544,0.7188330
6000,5980,263.632,-9.52,491.0097,0.6488298
7000,6976,256.961,-16.19,430.8599,0.5841269
8000,7971,250.292,-22.86,376.7974,0.5244434
9000,8966,243.626,-29.52,328.3418,0.4695060
10000,9961,236.961,-36.19,285.0398,0.4190503
12000,11949,223.639,-49.51,212.2104,0.3305654
14000,13937,210.325,-62.82,155.1827,0.2570343
16000,15923,197.019,-76.13,111.2046,0.1966313
18000,17907,198.779,-74.37,78.64157,0.1378225
20000,19891,206.713,-66.44,56.29715,0.09487626
22000,21873,214.641,-58.51,40.82017,0.06625209
24000,23854,218.858,-54.59,29.87766,0.04755795
26000,25833,222.817,-50.33,21.99570,0.03438964
28000,27812,226.774,-46.38,16.28370,0.02501488
30000,29789,230.728,-42.42,12.12014,0.01829974
32000,31765,236.092,-37.06,9.075227,0.01339103
34000,33740,241.621,-31.53,6.842101,0.009864886
36000,35713,247.147,-26.00,5.192440,0.007319035
38000,37686,252.670,-20.48,3.965297,0.005467150
40000,39657,258.188,-14.96,3.046371,0.004110401
42000,41626,262.728,-10.82,2.352931,0.003119903
44000,43595,267.059,-6.09,1.825355,0.002381105
46000,45562,271.387,-1.76,1.422088,0.001825475
48000,47528,272.350,-0.80,1.111163,0.001421309
50000,49493,272.350,-0.80,0.8684371,0.001110834
52000,51457,271.254,-1.90,0.6787593,0.0008717218
54000,53419,266.544,-6.61,0.5289756,0.0006913604
56000,55380,261.009,-12.14,0.4103663,0.0005477140
58000,57340,255.129,-18.02,0.3165824,0.0004322791
60000,59299,249.253,-23.90,0.2427992,0.0003393472
62000,61256,242.753,-30.40,0.1850269,0.0002655271
64000,63213,235.906,-37.24,0.1399430,0.0002066572
66000,65168,229.063,-44.09,0.1049963,0.0001596823
68000,67121,222.786,-50.36,0.07812449,0.0001221626
70000,69074,216.928,-56.22,0.05767794,0.00009262593
72000,71025,211.074,-62.08,0.04223868,0.00006971309
74000,72976,205.223,-67.93,0.03066854,0.00005206007
76000,74925,203.225,-69.92,0.02213526,0.00003794413
78000,76872,201.278,-71.87,0.01592946,0.00002757042
80000,78819,199.331,-73.82,0.01142926,0.00001997473
