altitude_m,H_geopotential_m,temperature_K,temperature_C,pressure_hPa,density_kg_m3
0,0,283.150,10.00,1020.500,1.255552
1000,998,281.652,8.50,904.3877,1.118611
2000,1997,280.155,7.00,801.0013,0.9960310
3000,2994,273.785,6.30,708.2381,0.9011710
4000,3992,267.401,-5.75,624.4260,0.8134969
5000,4989,261.019,-12.13,548.8819,0.7325630
6000,5986,254.639,-18.51,480.9595,0.6579944
7000,6983,248.261,-24.89,420.0502,0.5894291
8000,7979,241.884,-31.27,365.5799,0.5265173
9000,8975,235.510,-37.64,317.0092,0.4689215
10000,9971,229.138,-44.01,273.8311,0.4163165
12000,11961,216.400,-56.75,201.7829,0.3248372
14000,13950,212.250,-60.90,146.9359,0.2411675
16000,15938,208.274,-64.88,106.3783,0.1779327
18000,17925,207.150,-66.00,76.67844,0.1289515
20000,19910,210.970,-62.18,55.42683,0.09152460
22000,21894,214.938,-58.21,40.31617,0.06534376
24000,23877,218.904,-54.25,29.50204,0.04695014
26000,25858,222.495,-50.66,21.70892,0.03399035
28000,27839,226.060,-47.09,17.60155,0.02474229
30000,29818,229.622,-45.53,11.93281,0.01810366
32000,31796,233.183,-39.97,8.910929,0.01331266
34000,33773,236.741,-36.41,6.685021,0.009837124
36000,35748,241.520,-31.63,5.040774,0.007270803
38000,37722,246.456,-26.69,3.823344,0.005404346
40000,39695,251.388,-21.76,2.916373,0.004041448
42000,41667,256.317,-16.83,2.236656,0.003039905
44000,43637,261.243,-11.91,1.724332,0.002299398
46000,45606,266.166,-6.98,1.336047,0.001748667
48000,47574,269.650,-3.50,1.040365,0.001344075
50000,49541,269.650,-3.50,0.8111550,0.001047952
52000,51507,265.732,-7.42,0.6331020,0.0008299806
54000,53471,260.625,-12.52,0.4896510,0.0006544986
56000,55434,255.521,-17.63,0.3777460,0.0005150029
58000,57396,250.420,-22.73,0.2899100,0.0004032813
60000,59357,245.323,-27.83,0.2213370,0.0003143082
62000,61316,240.228,-32.92,0.1680647,0.0002437199
64000,63274,235.137,-38.01,0.1268919,0.0001879963
66000,65231,230.049,-43.10,0.09522370,0.0001441992
68000,67187,224.964,-48.19,0.07101800,0.0001099749
70000,69142,219.882,-53.27,0.05261760,0.00008336456
72000,71095,215.241,-57.91,0.03873080,0.00006268586
74000,73047,210.947,-62.20,0.02833610,0.00004679558
76000,74998,206.655,-66.50,0.02059990,0.00003472637
78000,76948,202.365,-70.78,0.01487932,0.00002561462
80000,78896,198.079,-75.07,0.01067686,0.00001877773
