altitude_m,H_geopotential_m,temperature_K,temperature_C,pressure_hPa,density_kg_m3
0,0,291.150,18.50,1013.500,1.212677
1000,1000,286.651,13.50,900.4805,1.094357
2000,1999,282.153,9.00,798.5996,0.9860133
3000,2999,276.158,3.01,706.6750,0.8914549
4000,3997,270.165,-2.98,623.6801,0.8042124
5000,4996,264.174,-8.98,548.9141,0.7238575
6000,5994,258.184,-14.97,481.7178,0.6499823
7000,6992,252.196,-20.95,421.4714,0.5821939
8000,7990,246.210,-26.94,367.5938,0.5201158
9000,8987,240.226,-32.92,319.5402,0.4633881
10000,9984,234.244,-38.91,276.8012,0.4116585
12000,11977,222.286,-50.86,205.3950,0.3218967
14000,13969,216.150,-57.00,150.2602,0.2421737
16000,15960,216.150,-57.00,109.6999,0.1768028
18000,17949,217.289,-55.86,80.13558,0.1284771
20000,19937,219.675,-53.47,58.72381,0.09312628
22000,21924,222.059,-51.09,43.18617,0.06775082
24000,23910,224.442,-48.71,31.87007,0.04946723
26000,25894,227.538,-45.61,23.60416,0.03613868
28000,27877,231.504,-41.65,17.57078,0.02644051
30000,29859,235.468,-37.68,13.14769,0.01945161
32000,31840,240.165,-32.98,9.891545,0.01434802
34000,33819,244.916,-28.23,7.484711,0.01064624
36000,35797,249.663,-23.49,5.694896,0.007946373
38000,37774,254.408,-18.74,4.356168,0.005965020
40000,39750,259.150,-14.00,3.349228,0.004502277
42000,41724,263.888,-9.26,2.587762,0.003416191
44000,43698,268.624,-4.53,2.008934,0.002605307
46000,45670,273.357,0.21,1.566736,0.001996659
48000,47640,276.550,3.40,1.227015,0.001545661
50000,49610,276.550,3.40,0.9620223,0.001211852
52000,51578,275.047,1.90,0.7542266,0.0009552852
54000,53545,269.933,-3.22,0.5893773,0.0007606347
56000,55511,264.821,-8.33,0.4584636,0.0006031006
58000,57476,259.713,-13.44,0.3549443,0.0004761061
60000,59439,254.609,-18.54,0.2734507,0.0003741485
62000,61401,246.985,-26.16,0.2093902,0.0002953411
64000,63362,238.357,-34.79,0.1588737,0.0002322001
66000,65322,229.734,-43.42,0.1193453,0.0001809747
68000,67280,221.117,-52.03,0.08869240,0.0001397343
70000,69238,212.505,-60.64,0.06515194,0.0001068063
72000,71194,205.569,-67.58,0.04730012,0.00008015719
74000,73148,199.705,-73.44,0.03401890,0.00005934311
76000,75102,193.844,-79.31,0.02423285,0.00004355028
78000,77055,187.986,-85.16,0.01708683,0.00003166453
80000,79006,182.133,-91.02,0.01191828,0.00002279625
