altitude_m,H_geopotential_m,temperature_K,temperature_C,pressure_hPa,density_kg_m3
0,0,256.150,-17.00,1013.000,1.377695
1000,1001,258.146,-15.00,886.8449,1.196798
2000,2002,254.142,-19.01,776.0259,1.063744
3000,3002,250.137,-23.01,677.6458,0.9437636
4000,4003,244.636,-28.51,590.2222,0.8404919
5000,5002,239.137,-34.01,512.4874,0.7465779
6000,6002,233.639,-39.51,443.5517,0.6613581
7000,7001,228.143,-45.01,382.5879,0.5841997
8000,8000,222.649,-50.50,328.8318,0.5145059
9000,8999,217.157,-55.99,281.5750,0.4517084
10000,9997,218.147,-55.00,240.7363,0.3844417
12000,11993,220.143,-53.01,176.3716,0.2791018
14000,13987,222.137,-51.01,129.6041,0.2032524
16000,15980,223.150,-50.00,95.48707,0.1490685
18000,17972,223.150,-50.00,70.38933,0.1098874
20000,19963,223.150,-50.00,51.89817,0.08102020
22000,21952,222.174,-50.98,38.24683,0.05997089
24000,23940,221.180,-51.97,28.15320,0.04434251
26000,25927,220.186,-52.96,20.69876,0.03274854
28000,27913,219.194,-53.96,15.19991,0.02415746
30000,29897,218.201,-54.95,11.14842,0.01779894
32000,31880,217.210,-55.94,8.166893,0.01309832
34000,33862,216.219,-56.93,5.975400,0.009627457
36000,35843,216.887,-56.26,4.371443,0.007021484
38000,37823,217.679,-55.47,3.202279,0.005124845
40000,39801,218.470,-54.68,2.348920,0.003745536
42000,41778,219.261,-53.89,1.725232,0.002741095
44000,43754,220.051,-53.10,1.268798,0.002008660
46000,45728,228.099,-45.05,0.9383599,0.001433124
48000,47701,237.176,-35.97,0.7022675,0.001031503
50000,49673,243.150,-30.00,0.5311022,0.0007609252
52000,51644,243.150,-30.00,0.4026413,0.0005768755
54000,53614,243.150,-30.00,0.3053046,0.0004374185
56000,55582,243.150,-30.00,0.2315385,0.0003317318
58000,57549,243.150,-30.00,0.1756256,0.0002516238
60000,59515,243.150,-30.00,0.1332378,0.0001908935
62000,61480,243.150,-30.00,0.1010977,0.0001448456
64000,63444,243.150,-30.00,0.07672377,0.0001099243
66000,65406,245.962,-27.19,0.05830224,0.00008257637
68000,67367,249.884,-23.27,0.04449631,0.00006203316
70000,69327,253.804,-19.35,0.03410843,0.00004681685
72000,71285,252.965,-20.18,0.02621460,0.00003610115
74000,73243,249.637,-23.51,0.02008982,0.00002803526
76000,75199,246.312,-26.84,0.01534373,0.00002170121
78000,77154,242.988,-30.16,0.01167802,0.00001674257
80000,79108,239.667,-33.48,0.008856248,0.00001287300
