altitude_m,H_geopotential_m,temperature_K,temperature_C,pressure_hPa,density_kg_m3
0,0,248.950,-24.20,1013.800,1.418660
1000,1002,253.044,-20.11,884.5174,1.217724
2000,2004,250.238,-22.91,772.0217,1.074767
3000,3006,247.412,-25.74,672.8301,0.9473777
4000,4007,240.903,-32.95,584.8615,0.8457631
5000,5008,234.396,-38.75,506.4699,0.7527325
6000,6009,227.892,-45.26,436.8327,0.6677662
7000,7009,221.389,-51.76,375.1780,0.5903625
8000,8009,214.940,-58.21,320.7829,0.5199144
9000,9009,213.890,-59.26,273.5459,0.4455302
10000,10009,212.640,-60.51,233.0586,0.3818195
12000,12007,210.342,-62.81,168.7714,0.2795182
14000,14003,208.046,-65.10,121.8098,0.2039674
16000,15999,205.751,-67.40,87.61615,0.1483472
18000,17993,203.458,-69.69,62.80179,0.1075314
20000,19986,201.166,-71.98,44.85517,0.07767759
22000,21978,201.150,-72.00,31.98174,0.05538858
24000,23968,201.150,-72.00,22.80781,0.03950041
26000,25957,204.673,-68.48,16.31573,0.02777048
28000,27945,208.252,-64.90,11.74197,0.01964221
30000,29932,223.807,-49.34,8.572848,0.01334409
32000,31918,232.788,-40.36,6.369991,0.009532717
34000,33902,241.519,-31.63,4.786120,0.006903528
36000,35885,250.244,-22.91,3.633383,0.005058080
38000,37867,258.964,-14.19,2.784913,0.003746368
40000,39847,267.678,-5.47,2.153803,0.002803049
42000,41827,268.350,-4.80,1.674015,0.002173181
44000,43805,268.350,-4.80,1.301343,0.001689383
46000,45782,267.223,-5.93,1.011718,0.001318934
48000,47757,260.003,-13.15,0.7829460,0.001049040
50000,49732,257.337,-15.81,0.6032288,0.0008166154
52000,51705,254.673,-18.48,0.4635800,0.0006341313
54000,53677,252.011,-21.14,0.3553344,0.0004911965
56000,55648,249.351,-23.80,0.2716415,0.0003795102
58000,57617,246.692,-26.46,0.2070988,0.0002924561
60000,59585,243.928,-29.22,0.1574547,0.0002248701
62000,61552,238.814,-34.34,0.1191895,0.0001738667
64000,63518,233.703,-39.45,0.08969743,0.0001337071
66000,65483,228.595,-44.55,0.06709207,0.0001022452
68000,67446,223.490,-49.66,0.04986471,0.00007772729
70000,69408,218.388,-54.76,0.03681461,0.00005872581
72000,71369,213.844,-59.31,0.02699293,0.00004397355
74000,73329,211.688,-61.46,0.01970559,0.00003242883
76000,75288,209.534,-63.62,0.01434221,0.00002384518
78000,77245,207.381,-65.77,0.01040648,0.00001748130
80000,79201,205.229,-67.92,0.007527056,0.00001277688
