,MAE_avg,MAE_avg,MAE_avg,MAE_avg,R2_avg,R2_avg,R2_avg,R2_avg,model_size_kb,model_size_kb,model_size_kb,model_size_kb,overfit_ratio,overfit_ratio,overfit_ratio,overfit_ratio,time_1point_us,time_1point_us,time_1point_us,time_1point_us
dataset,1d,2d,3d,4d,1d,2d,3d,4d,1d,2d,3d,4d,1d,2d,3d,4d,1d,2d,3d,4d
method,,,,,,,,,,,,,,,,,,,,
GPR,0.0016058160265467734,6.89517776435334,12.563251416550731,1.8041258340049187,0.9999999865803009,0.9991856983235491,0.9993255415835853,0.9991632023935815,838.2744140625,1104.2744140625,3519.4814453125,5022.7939453125,0.2898739794487803,2.105032074820523,1.7867101562011545,16.233715334353597,567.0139996800572,819.9530001729727,667.9460004670545,696.3859999086708
GradientBoosting,129.30348951127985,22.21006225148429,19.247725169526603,16.196561303877967,0.9991915569572416,0.993432960862067,0.9927861936894893,0.9996691041759885,1648.005859375,1844.9072265625,1909.462890625,1951.5185546875,140.98801610489883,14.047822201840724,3.7813749303685285,3.7273929501122884,786.5380001021549,1028.4270002739504,853.357000160031,894.9119999306276
LinearRegression,1710.8806854922414,3769.9898500695012,3640.6930141144794,811.2953229328391,0.8859002806474462,0.12192800235547263,0.30470426383774163,0.972331721449437,0.8740234375,0.9365234375,1.1240234375,1.1865234375,0.9536582196327427,1.0080682535973178,0.9970439218227164,1.015965321304666,178.35000006016344,178.30499971751124,208.01400009077042,243.22199984453619
MLP,11.900085505300193,48.18176966367758,83.18739363329725,84.16609168714315,0.999981591828433,0.998654414720199,0.9987515252650797,0.9993495122161893,433.857421875,440.1015625,458.8681640625,465.125,0.7887484726433235,0.7850214008387248,1.2456035701593198,2.436841900232218,745.623999973759,434.38700027763844,454.3449997436255,422.3780002212152
PCHIP,0.31955536784616884,,,,0.9999999956886958,,,,21.3984375,,,,,,,,5.959999980404973,,,
PolynomialFeatures(5)+LR,1336.4537433614446,,,,0.956735125810555,,,,1.47265625,,,,0.989748965132207,,,,487.6539995893836,,,
RBF-интерполяция,,39.127871377001405,58.98817075951625,15.796087440094098,,0.9827600092926151,0.9130395359499932,0.9967252110618925,,16.55078125,37.1796875,47.4765625,,3698066.261862892,75863.89317418681,1331463.442799457,,22.190999588929117,40.420000441372395,42.298000189475715
RandomForest,80.3870846566212,117.82065550421628,50.8976562666706,36.65878424880109,0.9995577386846676,0.9842643153222407,0.9878722310189411,0.9995404389856701,4563.369140625,5391.0439453125,8912.3662109375,8450.4365234375,2.915511481168869,3.4084474916173697,1.6618232213977129,5.660719039815142,121101.36099974625,145821.037000278,146470.60599992983,147855.67599989008
SVR,3686.935367689513,2814.6960753610642,3401.131706993348,4499.402025903408,0.8031383813787988,0.7007385965364924,0.6349344128611496,0.7896314915347785,11.6533203125,18.6015625,58.2666015625,76.646484375,0.7886334667384851,0.7748045855373084,0.9588834752236438,0.987623368065519,475.66400025971234,405.4719995474443,447.5600004661828,469.0859996480867
Кубический сплайн,5.777857826545943e-05,,,,0.9999999999858268,,,,21.392578125,,,,,,,,6.121000042185187,,,
Линейная интерполяция,1.5225068510951458,,,,0.9999999359393712,,,,11.755859375,,,,,,,,49.424999742768705,,,
