method,1d,2d,3d,4d
Линейная интерполяция,0.0004076543727697621,,,
Кубический сплайн,1.3692728342869864e-05,,,
PCHIP,8.910135285138561e-05,,,
RBF-интерполяция,,1.8236163192779884,5.197442195536293,0.2806911501565332
MLP,0.032503971002831915,0.42728919042310837,0.3502748946681117,0.2533709286254207
GPR,0.00045855089402033536,0.32760840599873303,0.3394319188008037,0.39030746527317495
GradientBoosting,0.27279384107416216,1.1335747877930076,1.3795594924432142,0.22430194181245583
RandomForest,0.1770451001835701,1.8263463364354604,1.9975423710712013,0.1971237077350624
SVR,0.1371512851881107,1.7077394466885765,4.375506282962744,0.4064137431004259
LinearRegression,4.359150823146419,12.49475475660428,13.194276844092935,1.8789796261095348
PolynomialFeatures(5)+LR,1.864776143127484,,,
