method,1d,2d,3d,4d
Линейная интерполяция,5.9165245517820755e-05,,,
Кубический сплайн,3.508842186182886e-08,,,
PCHIP,1.2169261537538798e-05,,,
RBF-интерполяция,,0.002005051711590689,0.0036702089130126033,0.0006789876248614568
MLP,0.0013242960361977232,0.0031277597175554685,0.004725699767261348,0.004415599694787126
GPR,1.2244931208485668e-06,0.0013081976105249582,0.0007941816361057927,0.0015207002106034863
GradientBoosting,0.006213782964805036,0.0023766598583721665,0.0017707511919972103,0.0010416504859523182
RandomForest,0.0038287509385145657,0.005815660802828428,0.004186378288119068,0.0020554086802489773
SVR,0.007065479031463318,0.008320147708681214,0.008683450660837833,0.007403754431085446
LinearRegression,0.061538413967352504,0.18915684805219807,0.18055781569596624,0.03635799448522432
PolynomialFeatures(5)+LR,0.05430810442843734,,,
