method,1d,2d,3d,4d
Линейная интерполяция,0.9999998353055959,,,
Кубический сплайн,0.9999999999999997,,,
PCHIP,0.9999999888604236,,,
RBF-интерполяция,,0.9998111557858852,0.9998237369000271,0.9998726725417584
MLP,0.9999926796431393,0.9996587806555494,0.9990074112591028,0.9996329869219738
GPR,0.9999999999991189,0.9999884870757613,0.999978583415868,0.999999821792827
GradientBoosting,0.999241945635706,0.9999525676293568,0.9999701538388457,0.9999482290734106
RandomForest,0.9995937609194455,0.9980813470525554,0.9997454224856256,0.9997385671310406
SVR,0.21373776887108809,-0.11766302112930571,-0.1222012133573509,0.1653952846263662
LinearRegression,0.8975821527346302,0.3713841737731335,0.5230128549487071,0.974494301052207
PolynomialFeatures(5)+LR,0.9308566334811904,,,
