method,1d,2d,3d,4d
Линейная интерполяция,1.0,,,
Кубический сплайн,0.9999999999734395,,,
PCHIP,1.0,,,
RBF-интерполяция,,0.9663951741316968,0.8308563920139239,0.9936981419666316
MLP,0.9999823544216087,0.9976417067026093,0.9982236054032615,0.9990588266204103
GPR,0.9999999747499849,0.9985215301090337,0.998679311329748,0.9984210567342832
GradientBoosting,0.9990829136119573,0.9877858286357316,0.9853184806657738,0.9992364659990687
RandomForest,0.9994877992261192,0.9705844907050148,0.9768062493499347,0.9993044316657053
SVR,0.9997640913051246,0.9605405813361958,0.8055624392093014,0.9972386505398202
LinearRegression,0.8456734050992847,-0.16195436258311835,0.06514219827749801,0.9710034057592636
PolynomialFeatures(5)+LR,0.9696018847165618,,,
