method,1d,2d,3d,4d
Линейная интерполяция,0.9999999967521941,,,
Кубический сплайн,0.9999999999702552,,,
PCHIP,0.9999999997731458,,,
RBF-интерполяция,,0.96506326421486,0.8220941102129455,0.9934381697806053
MLP,0.9999916035086652,0.9976829492034461,0.9987890329187787,0.9991847737719477
GPR,0.9999999719618726,0.9984516434384134,0.9986805233800995,0.9983028829256603
GradientBoosting,0.999097244430792,0.9862948486693881,0.9860065143000076,0.9995229549278926
RandomForest,0.9994963530151612,0.9704764246769519,0.9756886811857134,0.9994093147067733
SVR,0.9997618943080077,0.9618512737098989,0.8575296546784363,0.997314747079986
LinearRegression,0.8545308740683498,-0.15375817218489995,0.061038706293235045,0.9705626121543903
PolynomialFeatures(5)+LR,0.9745757630196235,,,
