method,1d,2d,3d,4d
Линейная интерполяция,0.9999999359393712,,,
Кубический сплайн,0.9999999999858268,,,
PCHIP,0.9999999956886958,,,
RBF-интерполяция,,0.9827600092926151,0.9130395359499932,0.9967252110618925
MLP,0.999981591828433,0.998654414720199,0.9987515252650797,0.9993495122161893
GPR,0.9999999865803009,0.9991856983235491,0.9993255415835853,0.9991632023935815
GradientBoosting,0.9991915569572416,0.993432960862067,0.9927861936894893,0.9996691041759885
RandomForest,0.9995577386846676,0.9842643153222407,0.9878722310189411,0.9995404389856701
SVR,0.8031383813787988,0.7007385965364924,0.6349344128611496,0.7896314915347785
LinearRegression,0.8859002806474462,0.12192800235547263,0.30470426383774163,0.972331721449437
PolynomialFeatures(5)+LR,0.956735125810555,,,
