method,1d,2d,3d,4d
Линейная интерполяция,0.9999999116996949,,,
Кубический сплайн,0.9999999999996125,,,
PCHIP,0.9999999941212138,,,
RBF-интерполяция,,0.9997704430380185,0.9993839046730764,0.9998918599585743
MLP,0.9999597297403191,0.9996342223191911,0.998986051479176,0.9995214615504252
GPR,0.9999999996102268,0.9997811326709879,0.9999637482086258,0.9999290481215557
GradientBoosting,0.999344124150511,0.9996985985137913,0.9998496259533302,0.9999687667035824
RandomForest,0.9996530415779443,0.9979149988544408,0.9992485710544907,0.9997094424391614
SVR,0.9992897710309748,0.9982255522291807,0.9988467709142117,0.9985772838929416
LinearRegression,0.9458146906875203,0.43204037041677534,0.5696232958315266,0.973266566831887
PolynomialFeatures(5)+LR,0.9519062220248442,,,
