method,1d,2d,3d,4d
Линейная интерполяция,9.458712949484188,,,
Кубический сплайн,0.0004126491737459615,,,
PCHIP,2.459953868101144,,,
RBF-интерполяция,,321.0208869695162,380.34929397279075,261.6209817596908
MLP,63.06069468633391,431.5173587287458,902.5818266092084,444.1731542023324
GPR,0.021877353681502315,79.26368739291374,132.57969460675153,9.78755299720339
GradientBoosting,641.7159004582392,160.88622596176828,156.5114634513511,166.82245391082776
RandomForest,469.7680482543839,1023.2450709442105,457.10074951636057,374.8794470708585
SVR,20666.947268808468,24696.58419517536,30348.5034162803,21181.26790455459
LinearRegression,7458.997227530149,18521.412493289597,19785.874493005565,3702.7991118267855
PolynomialFeatures(5)+LR,6128.693248381912,,,
