method,1d,2d,3d,4d
Линейная интерполяция,6.277305492110744e-15,,,
Кубический сплайн,0.00010509535917587567,,,
PCHIP,1.719110909190061e-14,,,
RBF-интерполяция,,3.715659527981867,10.042921667575538,1.8299083210376486
MLP,0.08566101129327429,0.9843147559229012,1.029205271450763,0.7071797917206556
GPR,0.00324038094366917,0.7793657737841678,0.8874267308343724,0.9159637511584463
GradientBoosting,0.6175475055371727,2.2400983789594586,2.958814789773563,0.6369556804351593
RandomForest,0.46151451368445096,3.4763482271199075,3.718928015429551,0.6079458883989276
SVR,0.31321115574414493,4.026339843100085,10.767685500228081,1.2113111372088503
LinearRegression,8.010979770557245,21.848902305203087,23.610493167019538,3.9252608257188366
PolynomialFeatures(5)+LR,3.5554008912513813,,,
