method,1d,2d,3d,4d
Линейная интерполяция,0.0007475606672527395,,,
Кубический сплайн,7.154128529765315e-05,,,
PCHIP,0.00019757175208168565,,,
RBF-интерполяция,,2.4693684355872723,6.661608394134631,1.1764949915981464
MLP,0.03801021571802445,0.6359346768389869,0.5496042780566047,0.41468340880940974
GPR,0.002196473227948712,0.5198525986061077,0.5736999148809938,0.598319957654936
GradientBoosting,0.39412728391880336,1.5466307746330485,1.8683011880840834,0.31721761461394615
RandomForest,0.29438422327069785,2.2700174966445013,2.46256779259107,0.3529845257551687
SVR,0.20241202094245608,2.580386439679134,5.96137132579729,0.7526103505593458
LinearRegression,5.003072852742145,14.190644647851654,15.304099506484487,2.4918805655173304
PolynomialFeatures(5)+LR,2.09158431457827,,,
