method,1d,2d,3d,4d
Линейная интерполяция,2.364886390252995,,,
Кубический сплайн,0.00014736599316586365,,,
PCHIP,0.6150433462873088,,,
RBF-интерполяция,,81.80266577176144,99.26570734652827,66.1575080860738
MLP,15.796545555680783,108.28590044176967,226.04304722248858,111.3251465574269
GPR,0.00682996464271138,20.141885512315667,33.510751424792474,2.8259952536008424
GradientBoosting,160.6837263307235,41.16959894592755,40.33575710923542,41.944512477185945
RandomForest,117.63231958267268,257.2514366099378,115.82304767206291,93.96117920052306
SVR,5166.867629935329,6175.801030647499,7591.311198445394,5295.810357025611
LinearRegression,1868.019476333104,4639.422054404508,4956.25677472682,927.3144690373484
PolynomialFeatures(5)+LR,1533.6007505330276,,,
