method,1d,2d,3d,4d
Линейная интерполяция,8.505086053240295e-05,,,
Кубический сплайн,1.7815444396426378e-07,,,
PCHIP,2.194529599259059e-05,,,
RBF-интерполяция,,0.004748153960431458,0.00900535161221509,0.0026472719686951194
MLP,0.0018163093779206007,0.005993605570927173,0.011552731238620672,0.005568826845130614
GPR,5.650717725320601e-06,0.004636283958657523,0.0021844467030178558,0.0021443083865954914
GradientBoosting,0.0073300751988270045,0.005440668349398691,0.004449007732982635,0.001422702866902271
RandomForest,0.005331339351620401,0.014309771776356164,0.009945363870460758,0.004339317079638401
SVR,0.007627756162437026,0.013201131852313827,0.012320675255386762,0.009602060088439557
LinearRegression,0.0666251789684709,0.23617737538040884,0.23801322821166299,0.04162293137167582
PolynomialFeatures(5)+LR,0.06276854436882859,,,
