method,1d,2d,3d,4d
Линейная интерполяция,11.755859375,,,
Кубический сплайн,21.392578125,,,
PCHIP,21.3984375,,,
RBF-интерполяция,,16.55078125,37.1796875,47.4765625
MLP,433.857421875,440.1015625,458.8681640625,465.125
GPR,838.2744140625,1104.2744140625,3519.4814453125,5022.7939453125
GradientBoosting,1648.005859375,1844.9072265625,1909.462890625,1951.5185546875
RandomForest,4563.369140625,5391.0439453125,8912.3662109375,8450.4365234375
SVR,11.6533203125,18.6015625,58.2666015625,76.646484375
LinearRegression,0.8740234375,0.9365234375,1.1240234375,1.1865234375
PolynomialFeatures(5)+LR,1.47265625,,,
