method,1d,2d,3d,4d
Линейная интерполяция,0.1593999972101301,,,
Кубический сплайн,0.047229998745024204,,,
PCHIP,0.059559999499469995,,,
RBF-интерполяция,,12.729889998445287,27.87928000325337,30.858110002009198
MLP,5.561239999951795,3.469439997570589,4.097830003593117,4.4340800028294325
GPR,33.003130002180114,41.289039998082444,65.63294000225142,69.59788000094704
GradientBoosting,11.330979998456314,13.951920002000406,12.85193000221625,12.650600000051782
RandomForest,176.0245000012219,170.01870999811217,158.43183000106364,163.1920700019691
SVR,35.99920999840833,40.15462000388652,75.5769399984274,88.89542000251822
LinearRegression,0.24488000199198726,0.19230999751016498,1.1119100032374263,1.1143299983814359
PolynomialFeatures(5)+LR,0.5909300001803786,,,
