method,1d,2d,3d,4d
Линейная интерполяция,49.424999742768705,,,
Кубический сплайн,6.121000042185187,,,
PCHIP,5.959999980404973,,,
RBF-интерполяция,,22.190999588929117,40.420000441372395,42.298000189475715
MLP,745.623999973759,434.38700027763844,454.3449997436255,422.3780002212152
GPR,567.0139996800572,819.9530001729727,667.9460004670545,696.3859999086708
GradientBoosting,786.5380001021549,1028.4270002739504,853.357000160031,894.9119999306276
RandomForest,121101.36099974625,145821.037000278,146470.60599992983,147855.67599989008
SVR,475.66400025971234,405.4719995474443,447.5600004661828,469.0859996480867
LinearRegression,178.35000006016344,178.30499971751124,208.01400009077042,243.22199984453619
PolynomialFeatures(5)+LR,487.6539995893836,,,
