method,10,25,50,100,200,500,1000
Линейная интерполяция,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Кубический сплайн,1.0,1.0,1.0,1.0,-4425443342809.763,-8.771714444717932e+24,-3.5871404763039575e+28
PCHIP,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Полином 15-й степени,-3.4787452980221827e+37,-3.371576836964587e+37,-3.2237300614709637e+37,-3.02963393972214e+37,-2.993072889050466e+37,-7.487555683691159e+37,-6.129146195837397e+39
Линейная регрессия,-2.5047441551116468e+29,-2.5000124935328113e+29,-2.492175869129055e+29,-2.4766856294197175e+29,-2.4464180258735612e+29,-2.3609504385023958e+29,-2.2341436859677866e+29
Полиномиальная регрессия (5),-2.452906574021382e+30,-2.4490169414505454e+30,-2.4425711458156298e+30,-2.429846429858249e+30,-2.4052675620242164e+30,-2.3419023404219328e+30,-8.897847304569993e+29
"MLP (50,25)",-1.96048443886283e+30,-2.3184325961170234e+30,-1.994640895274076e+30,-2.0645576870089903e+30,-1.9539897489539005e+30,-1.7503434210657652e+30,-2.1034750090151395e+30
Градиентный бустинг,-1.0480916706599369e+20,-1.2771162933056717e+20,-5.822422251997209e+19,-3.853310561711564e+16,-185117644008.0,-195543935411.25,-180444844943.0
Случайный лес,-11.25,-29.25,-5.25,-5.25,-8.0,-8.0,-8.0
SVR (RBF),-1.3422517019691764e+29,-8.834300705724778e+28,-5.804924638604969e+28,-3.75187097708546e+28,-2.558123222814695e+28,-1.7420409143648108e+28,-1.8934927559040813e+28
Гауссовский процесс,,,-6.352637353841234e+27,-5.058752782171143e+27,-4.338842794941433e+27,-1.968531767995628e+27,-1.6313636323470264e+26
PINN,-7.92826140164207e+29,-8.019268811143071e+29,-8.052899263637829e+29,-7.996943691081792e+29,-7.948436401938232e+29,-8.061281177779005e+29,-8.016226523453773e+29
