method,10,25,50,100,200,500,1000
Линейная интерполяция,188.611328125,76.1025390625,38.59375,19.83203125,10.45703125,4.83203125,2.921875
Кубический сплайн,313.130859375,125.6044921875,63.095703125,31.837890625,16.212890625,6.837890625,3.701171875
PCHIP,313.13671875,125.6103515625,63.1015625,31.84375,16.21875,6.84375,3.70703125
Полином 15-й степени,0.75390625,0.75390625,0.75390625,0.75390625,0.75390625,0.75390625,0.75390625
Линейная регрессия,0.8740234375,0.8740234375,0.8740234375,0.8740234375,0.8740234375,0.8740234375,0.8740234375
Полиномиальная регрессия (5),1.1240234375,1.1240234375,1.1240234375,1.1240234375,1.1240234375,1.1240234375,1.1240234375
"MLP (50,25)",303.8505859375,304.501953125,278.07421875,282.3642578125,380.865234375,380.8896484375,380.8759765625
Градиентный бустинг,1855.1728515625,1613.4033203125,1553.3564453125,1626.208984375,1734.90625,1771.3544921875,1546.31640625
Случайный лес,42881.3369140625,21525.9892578125,11101.4052734375,5697.8876953125,2911.6845703125,1235.14453125,682.8662109375
SVR (RBF),103.3271484375,43.3115234375,23.4052734375,13.6845703125,8.3916015625,4.96484375,3.755859375
Гауссовский процесс,,,5085.9169921875,1304.6474609375,351.5224609375,79.62109375,38.9521484375
PINN,147.1806640625,147.1806640625,147.1806640625,147.1806640625,147.1806640625,147.1806640625,147.1806640625
